polysemy	perc_correct	num
1	100.0	244
2	80.658436214	243
3	58.3333333333	156
4	68.0628272251	191
5	64.2857142857	168
6	38.4615384615	91
7	53.8461538462	104
8	40.0	45
9	50.0	44
10	66.6666666667	57
11	38.5714285714	70
12	25.9259259259	27
13	42.8571428571	7
14	9.09090909091	22
15	33.3333333333	3
16	33.3333333333	3
17	14.2857142857	7
20	55.0	20
26	54.5454545455	11
30	0.0	1
