polysemy	perc_correct	num
10+	42.5438596491	228
2	80.658436214	243
3	58.3333333333	156
4	68.0628272251	191
5	64.2857142857	168
6	38.4615384615	91
1	100.0	244
8	40.0	45
9	50.0	44
7	53.8461538462	104
