sense rank	perc_correct	num
1	85.3070175439	912
2	51.2987012987	308
3	29.3706293706	143
4	20.5882352941	68
5	18.1818181818	33
6	0.0	12
7	0.0	2
8	40.0	5
9	0.0	8
10	0.0	23
