sense rank	perc_correct	num
1	92.2149122807	912
2	34.7402597403	308
3	23.0769230769	143
4	13.2352941176	68
5	18.1818181818	33
6	0.0	12
7	0.0	2
8	20.0	5
9	0.0	8
10	0.0	5
11	0.0	13
12	0.0	2
19	0.0	2
20	0.0	1
