sense rank	perc_correct	num
1	88.6917960089	451
2	49.6688741722	151
3	43.8596491228	57
4	15.625	32
5	42.4242424242	33
6	24.0	25
7	50.0	10
8	35.2941176471	17
9	40.0	5
10	0.0	4
11	16.6666666667	6
12	0.0	1
14	0.0	1
15	0.0	1
16	0.0	2
19	0.0	6
35	0.0	1
