sense rank	perc_correct	num
1	87.5831485588	451
2	54.3046357616	151
3	47.3684210526	57
4	18.75	32
5	45.4545454545	33
6	36.0	25
7	50.0	10
8	29.4117647059	17
9	40.0	5
10	4.54545454545	22
