polysemy	perc_correct	num
0	0.0	2
1	97.4789915966	119
2	76.0330578512	121
3	69.4117647059	85
4	73.786407767	103
5	55.1724137931	58
6	73.0337078652	89
7	59.5744680851	47
8	29.1666666667	24
9	35.2941176471	17
10	46.3414634146	41
11	61.9047619048	21
12	66.6666666667	15
13	80.0	15
14	20.0	5
15	66.6666666667	6
16	50.0	6
17	0.0	1
19	0.0	3
20	60.0	5
21	0.0	1
24	0.0	2
25	0.0	2
26	0.0	1
27	0.0	2
30	33.3333333333	3
35	0.0	1
44	0.0	6
49	0.0	2
