sense number	perc_correct	num
1	87.5831485588	451
2	50.3311258278	151
3	24.5614035088	57
4	12.5	32
5	45.4545454545	33
6	32.0	25
7	60.0	10
8	41.1764705882	17
9	40.0	5
10	25.0	4
11	0.0	6
12	0.0	1
14	0.0	1
15	0.0	1
16	0.0	2
19	0.0	6
35	0.0	1
