sense rank	perc_correct	num
1	82.2616407982	451
2	53.642384106	151
3	31.5789473684	57
4	15.625	32
5	39.3939393939	33
6	32.0	25
7	50.0	10
8	35.2941176471	17
9	40.0	5
10	4.54545454545	22
