sense number	perc_correct	num
1	82.2616407982	451
2	53.642384106	151
3	31.5789473684	57
4	15.625	32
5	39.3939393939	33
6	32.0	25
7	50.0	10
8	35.2941176471	17
9	40.0	5
10	25.0	4
11	0.0	6
12	0.0	1
14	0.0	1
15	0.0	1
16	0.0	2
19	0.0	6
35	0.0	1
