polysemy	perc_correct	num
0	0.0	2
1	97.4789915966	119
2	74.3801652893	121
3	68.2352941176	85
4	66.9902912621	103
5	43.1034482759	58
6	61.797752809	89
7	70.2127659574	47
8	25.0	24
9	29.4117647059	17
10	36.5853658537	41
11	66.6666666667	21
12	33.3333333333	15
13	40.0	15
14	40.0	5
15	83.3333333333	6
16	0.0	6
17	0.0	1
19	33.3333333333	3
20	60.0	5
21	100.0	1
24	0.0	2
25	0.0	2
26	0.0	1
27	0.0	2
30	0.0	3
35	100.0	1
44	0.0	6
49	0.0	2
