polysemy	perc_correct	num
0	0.0	2
10+	42.0289855072	138
2	73.5537190083	121
3	76.4705882353	85
4	70.8737864078	103
5	44.8275862069	58
6	67.4157303371	89
7	63.829787234	47
8	20.8333333333	24
9	35.2941176471	17
1	97.4789915966	119
