sense rank	perc_correct	num
1	86.2938596491	912
2	28.2467532468	308
3	9.09090909091	143
4	29.4117647059	68
5	6.06060606061	33
6	25.0	12
7	0.0	2
8	20.0	5
9	0.0	8
10	80.0	5
11	0.0	13
12	0.0	2
19	0.0	2
20	0.0	1
