polysemy	perc_correct	num
1	100.0	244
2	72.8395061728	243
3	55.7692307692	156
4	54.4502617801	191
5	42.8571428571	168
6	52.7472527473	91
7	44.2307692308	104
8	44.4444444444	45
9	29.5454545455	44
10	43.8596491228	57
11	45.7142857143	70
12	29.6296296296	27
13	28.5714285714	7
14	27.2727272727	22
15	0.0	3
16	33.3333333333	3
17	14.2857142857	7
20	45.0	20
26	36.3636363636	11
30	0.0	1
