sense number	perc_correct	num
1	77.4122807018	912
2	44.4805194805	308
3	17.4825174825	143
4	30.8823529412	68
5	6.06060606061	33
6	25.0	12
7	0.0	2
8	20.0	5
9	0.0	8
10	80.0	5
11	0.0	13
12	0.0	2
19	0.0	2
20	0.0	1
